,don_id,ppe,date,qty
0,don0,printedFaceShields,2020-04-09 13:08:00+00:00,10.0
1,don1,printedFaceShields,2020-04-09 13:36:00+00:00,1.0
2,don10,printedFaceShields,2020-04-10 11:44:00+00:00,20.0
3,don11,printedFaceShields,2020-04-10 12:09:00+00:00,100.0
4,don12,printedFaceShields,2020-04-10 12:35:00+00:00,500.0
5,don13,printedFaceShields,2020-04-10 15:12:00+00:00,100.0
6,don165,printedFaceShields,2020-04-10 04:30:00+00:00,100.0
7,don3,printedFaceShields,2020-04-09 14:24:00+00:00,5.0
8,don5,printedFaceShields,2020-04-09 23:43:00+00:00,7.0
9,don6,printedFaceShields,2020-04-10 02:45:00+00:00,50.0
10,don71,printedFaceShields,2020-04-09 17:52:00+00:00,10.0
11,don8,printedFaceShields,2020-04-10 11:13:00+00:00,100.0
12,don9,printedFaceShields,2020-04-10 11:32:00+00:00,30.0
